Data from North Dakota Agricultural Weather Network https://ndawn.ndsu.nodak.edu
Monthly Observation Table for January 1 2019
Flag Definition Line: M - Missing; E - Estimated; N/A - Not Available
Station Name,Latitude,Longitude,Elevation,Year,Month,Min Temp,Number Missing,Number Estimated
,deg,deg,ft,,,Degrees F,,
Leonard,46.729381,-97.283470,949,2019,1,-4.354,0,0
Leonard,46.729381,-97.283470,949,2019,2,-12.360,0,0
Leonard,46.729381,-97.283470,949,2019,3,7.442,0,0
Leonard,46.729381,-97.283470,949,2019,4,31.911,0,0
Leonard,46.729381,-97.283470,949,2019,5,39.092,0,1
Leonard,46.729381,-97.283470,949,2019,6,54.246,0,0
Leonard,46.729381,-97.283470,949,2019,7,58.707,0,0
Leonard,46.729381,-97.283470,949,2019,8,54.066,0,0
Leonard,46.729381,-97.283470,949,2019,9,49.784,0,0
Leonard,46.729381,-97.283470,949,2019,10,32.217,0,0
Leonard,46.729381,-97.283470,949,2019,11,18.084,0,0
Leonard,46.729381,-97.283470,949,2019,12,2.544,0,0
